Track name,Artist name,Album name,Spotify ID,Spotify URL,Taste Match,Mood,Local Filename
Chittiyaan Kalaiyaan,Various Artists,2017 November,6XjJXPP3UiGtAQpYkD01c0,https://open.spotify.com/track/6XjJXPP3UiGtAQpYkD01c0,94%,Retro Dance & Pop-Rock,Chittiyaan Kalaiyaan @ IndiaMp3.Com.mp3
dai-dear-you-instrumental,Various Artists,2016 June,0B8Ev2BkRG8WMfjm6x7rLb,https://open.spotify.com/track/0B8Ev2BkRG8WMfjm6x7rLb,94%,Retro Dance & Pop-Rock,dai-dear-you-instrumental[mp3freex].mp3
dj-tandu-velvet,Various Artists,2016 June,2Nwj37iOobohLGeYfdL8Zi,https://open.spotify.com/track/2Nwj37iOobohLGeYfdL8Zi,94%,Retro Dance & Pop-Rock,dj-tandu-velvet[mp3freex].mp3
duke-dumont-i-got-you,Various Artists,2016 November,023H4I7HJnxRqsc9cqeFKV,https://open.spotify.com/track/023H4I7HJnxRqsc9cqeFKV,94%,Retro Dance & Pop-Rock,duke-dumont-i-got-you[mp3freex].mp3
keating-ronan-when-you-say-nothing-at-all-ost-noting-hill,Various Artists,2016 June,0gcjc7Vt5xtcfmJgf6g2IO,https://open.spotify.com/track/0gcjc7Vt5xtcfmJgf6g2IO,94%,Retro Dance & Pop-Rock,keating-ronan-when-you-say-nothing-at-all-ost-noting-hill[mp3freex].mp3
kygo-feat-conrad-firestone,Various Artists,2016 June,1I8tHoNBFTuoJAlh4hfVVE,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE,94%,Retro Dance & Pop-Rock,01-kygo-feat-conrad-firestone[mp3freex].mp3
leonard-cohen-in-my-secret-life,Various Artists,2016 June,31TADh49q4s4jm6lGDeIrd,https://open.spotify.com/track/31TADh49q4s4jm6lGDeIrd,94%,Retro Dance & Pop-Rock,leonard-cohen-in-my-secret-life[mp3freex].mp3
little-giants-lately-love-love-love,Various Artists,2016 June,2eiSU5oJ6Q8YfvaRhHBcmf,https://open.spotify.com/track/2eiSU5oJ6Q8YfvaRhHBcmf,94%,Retro Dance & Pop-Rock,little-giants-lately-love-love-love[mp3freex].mp3
netzwerk-koloman-vuchs-chill-edit,Various Artists,2016 June,2UEW0yVFK6AtGFF6IctO6d,https://open.spotify.com/track/2UEW0yVFK6AtGFF6IctO6d,94%,Retro Dance & Pop-Rock,netzwerk-koloman-vuchs-chill-edit.mp3
ortopilot-you-can-call-me-al-koloman-vuchs-edit,Various Artists,2016 June,0qxYx4F3vm1AOnfux6dDxP,https://open.spotify.com/track/0qxYx4F3vm1AOnfux6dDxP,94%,Retro Dance & Pop-Rock,ortopilot-you-can-call-me-al-koloman-vuchs-edit[mp3freex].mp3
Papaoutai,Various Artists,2018 September,4nRPe5CMD4HfM1mXuvxJx0,https://open.spotify.com/track/4nRPe5CMD4HfM1mXuvxJx0,94%,Retro Dance & Pop-Rock,02-Papaoutai.mp3
passenger-let-her-go,Various Artists,2016 June,1nHKI4L5pWrN5CUvW07nHP,https://open.spotify.com/track/1nHKI4L5pWrN5CUvW07nHP,94%,Retro Dance & Pop-Rock,passenger-let-her-go-lyrics[mp3freex].mp3
radio-premium-eelke-kleijn-mistakes-i-ve-made-radio-edit,Various Artists,2016 June,5tkKIwo0R91Rp9ZPUilg7l,https://open.spotify.com/track/5tkKIwo0R91Rp9ZPUilg7l,94%,Retro Dance & Pop-Rock,radio-premium-eelke-kleijn-mistakes-i-ve-made-radio-edit[mp3freex].mp3
rihanna-please-dont-stop-the-music,Various Artists,2016 June,0GiFj3pmwd7JiERWBJxWYp,https://open.spotify.com/track/0GiFj3pmwd7JiERWBJxWYp,94%,Retro Dance & Pop-Rock,rihanna-please-dont-stop-the-music[mp3freex].mp3
system-of-a-down-chop-suey-original,Various Artists,2016 June,0tKMIMuO1BmRmoQEhpiEhK,https://open.spotify.com/track/0tKMIMuO1BmRmoQEhpiEhK,94%,Retro Dance & Pop-Rock,system-of-a-down-chop-suey-original[mp3freex].mp3
Traditional Japanese Modern Music Shamisen Epic,Various Artists,2018 June,2a4oh8KtklDrgtMSTJp98Z,https://open.spotify.com/track/2a4oh8KtklDrgtMSTJp98Z,94%,Retro Dance & Pop-Rock,Traditional Japanese Modern Music Shamisen Epic.mp3
What Is Love,Various Artists,2017 March,7JkZ2hQdDonRURJjlMuh8q,https://open.spotify.com/track/7JkZ2hQdDonRURJjlMuh8q,94%,Retro Dance & Pop-Rock,What Is Love.mp3
All By Myself,Wang Chieh,2020 July,4sZHHT4EpKdiIQ7riaiKab,https://open.spotify.com/track/4sZHHT4EpKdiIQ7riaiKab,94%,Retro Dance & Pop-Rock,Wang Chieh - All By Myself.mp3
I Will Always Love You,Whitney Houston,2017 April,0BsbPzgtF3Ljzgtp5WmvwO,https://open.spotify.com/track/0BsbPzgtF3Ljzgtp5WmvwO,94%,Retro Dance & Pop-Rock,Whitney Houston - I Will Always Love You.mp3
river-flows-in-you,Yiruma,2016 November,2agBDIr9MYDUducQPC1sFU,https://open.spotify.com/track/2agBDIr9MYDUducQPC1sFU,94%,Buddha Bar Lounge,yiruma-river-flows-in-you[mp3freex].mp3
Stubborn Love (FlicFlac Bootleg) (1),The Lumineers,Indie,4W7LccW7cQgSidRBHh3W2v,https://open.spotify.com/track/4W7LccW7cQgSidRBHh3W2v,91%,Sunset Deep House,The Lumineers- Stubborn Love (FlicFlac Bootleg) www.myfreemp3.re  (1).mp3
Walk Into The Night (Original Mix),Alex Hook Feat. Shyam,2017 Febuary,,,90%,Sunset Deep House,Alex Hook Feat. Shyam - Walk Into The Night (Original Mix).mp3
Mr. Saxobeat,Alexandra Stan,Root,,,90%,Sunset Deep House,Alexandra Stan - Mr. Saxobeat - LYRICS.mp3
